City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rawannawi,,,12/31/69,,,,,
merauke,12,ID,03/22/19,91,-8.49,140.4,86.09,9.78
kedrovyy,0,RU,03/22/19,47,56.17,91.82,37.4,4.47
ilulissat,0,GL,03/22/19,57,69.22,-51.1,-11.21,4.7
constanta,0,RO,03/22/19,81,44.18,28.65,43,9.17
sekoma,0,BW,03/22/19,35,-24.51,23.93,64.85,14.25
baykalsk,8,RU,03/22/19,74,51.52,104.15,35.6,5.75
nieuw nickerie,100,SR,03/22/19,100,5.94,-56.99,78.08,12.8
myitkyina,0,MM,03/22/19,83,25.38,97.4,70.97,2.95
sobolevo,88,RU,03/22/19,74,54.43,31.9,32.63,19.95
athieme,,,12/31/69,,,,,
iquitos,75,PE,03/22/19,94,-3.75,-73.25,75.2,3.36
narsaq,44,GL,03/22/19,79,60.91,-46.05,26.6,16.11
toguchin,68,RU,03/22/19,93,55.24,84.4,22.55,5.97
isiolo,20,KE,03/22/19,77,0.35,37.58,66.38,3.85
brae,88,GB,03/22/19,80,60.4,-1.35,41,34.45
udachnyy,44,RU,03/22/19,56,66.42,112.4,1.58,7.99
khatanga,12,RU,03/22/19,79,71.98,102.47,-12.56,9.66
kendari,20,ID,03/22/19,88,-3.99,122.52,85.64,3.74
balakhta,24,RU,03/22/19,72,55.38,91.62,32.63,3.29
balgazyn,0,RU,03/22/19,70,51,95.2,29.03,3.51
port blair,20,IN,03/22/19,55,11.67,92.75,87.8,4.7
hovd,20,NO,03/22/19,87,63.83,10.7,41,31.09
avera,1,US,03/22/19,43,33.19,-82.53,60.8,8.43
ulladulla,40,AU,03/22/19,65,-35.36,150.48,78.8,9.17
mananjary,0,MG,03/22/19,96,-19.16,46.8,60.44,2.95
pandan,8,PH,03/22/19,96,11.72,122.09,80.96,14.25
manoel urbano,76,BR,03/22/19,94,-8.84,-69.26,74.3,1.83
tazovskiy,80,RU,03/22/19,92,67.47,78.7,21.92,9.55
wampusirpi,,,12/31/69,,,,,
namatanai,24,PG,03/22/19,100,-3.66,152.44,83.03,0.6
saint anthony,90,US,03/22/19,86,43.97,-111.68,39.2,3.85
vao,48,EE,03/22/19,83,59.1,26.19,25.61,8.32
labutta,,,12/31/69,,,,,
ossora,80,RU,03/22/19,96,59.24,163.07,26.15,15.48
klyuchi,0,RU,03/22/19,84,52.25,79.17,28.67,3.74
awjilah,0,LY,03/22/19,66,29.14,21.3,63.05,7.65
soure,0,PT,03/22/19,87,40.06,-8.63,57,3.36
tubuala,20,PA,03/22/19,69,9.52,-79.03,82,5.82
sisimiut,0,GL,03/22/19,61,66.94,-53.67,-34.88,2.73
punta alta,0,AR,03/22/19,72,-27.46,-55.82,68,3.36
byron bay,0,AU,03/22/19,66,-28.65,153.62,93.99,16.11
